echo_duration_ms,signal_amplitude,distance_cm,distance_delta,angular_velocity,echo_count,noise_ratio,doppler_shift_hz,object_class,object_name,is_moving
7.3989,0.6117,127.43,50.1304,2.9085,1,0.0254,3.3249,2,Submarine,1
7.302,0.7368,125.54,-47.9856,3.9735,1,0.0854,4.8136,2,Submarine,1
3.4651,0.5448,58.66,-68.2341,0.0037,2,0.082,0.0176,5,Marine Mammal,0
3.2772,0.5817,56.0,-69.3866,1.2056,2,0.1168,-1.7963,5,Marine Mammal,1
5.0614,0.4281,86.67,-3.2205,1.3539,5,0.1179,1.4081,0,Fish School,1
7.0501,0.2769,120.99,6.3123,2.1602,2,0.0593,2.721,5,Marine Mammal,1
4.5935,0.817,78.51,-105.3783,0.0328,1,0.0584,0.1038,2,Submarine,0
2.4584,0.4096,42.68,-86.3816,0.9573,3,0.1316,-1.0416,0,Fish School,1
6.1977,0.3428,106.26,32.6069,0.0022,5,0.1664,-0.0267,4,Debris,0
3.7826,0.748,66.09,-117.9251,0.0386,1,0.049,0.052,2,Submarine,0
7.138,0.4215,122.84,42.4728,1.4487,3,0.0648,-1.8751,3,Diver,1
8.44,0.3338,144.58,14.3398,1.1096,3,0.1174,-1.5559,0,Fish School,1
7.4754,0.6306,128.4,27.0258,0.0015,1,0.0629,0.2222,1,Rock/Reef,0
6.4846,0.2905,111.58,30.6687,1.6906,6,0.1488,-2.0917,0,Fish School,1
3.2918,0.2285,56.72,-21.2332,1.1898,4,0.0901,1.1266,0,Fish School,1
5.3215,0.2771,91.0,36.72,0.0064,6,0.2524,-0.2362,4,Debris,0
6.2787,0.36,107.37,71.8216,0.4637,4,0.2989,0.758,4,Debris,1
9.6147,0.5454,164.83,110.0764,4.7307,1,0.0549,5.7011,2,Submarine,1
7.4693,0.2359,127.79,-14.9577,2.042,7,0.1855,-3.039,0,Fish School,1
6.1021,0.393,104.34,39.0922,0.6638,3,0.1188,-0.7229,3,Diver,1
9.407,0.6315,160.93,-35.1647,0.0082,1,0.0204,0.0541,1,Rock/Reef,0
3.7399,0.4817,63.86,-11.8414,1.3977,4,0.1466,1.1415,3,Diver,1
8.6885,0.6444,148.79,8.2691,0.0103,1,0.0631,0.2797,1,Rock/Reef,0
2.3327,0.5264,39.46,-40.5266,0.0307,2,0.0794,-0.183,3,Diver,0
9.2949,0.5657,159.64,-9.2605,0.0339,1,0.0878,-0.2214,2,Submarine,0
2.2509,0.315,38.16,-26.7103,2.6109,6,0.1175,-3.0109,0,Fish School,1
3.1082,0.3795,53.03,11.0163,1.6273,6,0.1708,-1.7897,0,Fish School,1
8.7969,0.4763,150.83,95.466,0.0,1,0.0486,0.0448,1,Rock/Reef,0
6.1508,0.2525,105.95,85.0818,0.0279,4,0.1317,0.1487,4,Debris,0
9.3939,0.2337,161.18,46.2097,5.1423,2,0.0841,6.5351,5,Marine Mammal,1
10.2017,0.5744,174.95,-12.9106,0.0007,1,0.055,0.0737,1,Rock/Reef,0
5.5181,0.5028,95.45,1.9974,0.5225,2,0.1753,0.589,3,Diver,1
5.9132,0.3522,101.0,44.4775,1.7833,4,0.1367,1.7957,0,Fish School,1
8.7701,0.353,150.87,48.2016,0.0141,8,0.1579,-0.0483,4,Debris,0
9.2876,0.107,159.61,12.9719,0.2439,8,0.1661,0.5781,4,Debris,1
4.6487,0.5029,79.65,-13.7328,0.279,5,0.1891,-0.7317,4,Debris,1
3.9201,0.7626,66.24,-7.1968,2.1325,1,0.0486,-2.8409,2,Submarine,1
10.6392,0.5733,183.2,54.5211,0.044,1,0.0448,0.0781,1,Rock/Reef,0
8.7774,0.6236,150.78,52.924,0.0,1,0.027,0.1346,1,Rock/Reef,0
9.2406,0.5446,158.3,83.3412,0.013,1,0.0454,0.1274,1,Rock/Reef,0
6.731,0.3756,115.33,-0.9104,0.5931,5,0.2052,-0.8742,4,Debris,1
3.2994,0.4928,56.05,-38.6113,2.4991,3,0.0683,-3.2299,5,Marine Mammal,1
1.3417,0.4179,22.65,-50.965,0.0357,5,0.2316,-0.1046,4,Debris,0
3.1204,0.3219,53.35,-39.0557,2.9485,3,0.1972,3.6699,0,Fish School,1
